2016-03-18 08:05:21 status unpacked base-passwd:armhf 3.5.37
2016-03-18 08:05:21 status half-installed base-passwd:armhf 3.5.37
2016-03-18 08:05:21 status half-installed base-passwd:armhf 3.5.37
2016-03-18 08:05:21 status unpacked base-passwd:armhf 3.5.37
2016-03-18 08:05:21 status unpacked base-passwd:armhf 3.5.37
2016-03-18 08:05:21 install bash:armhf <none> 4.3-11
2016-03-18 08:05:21 status half-installed bash:armhf 4.3-11
2016-03-18 08:05:22 status unpacked bash:armhf 4.3-11
2016-03-18 08:05:22 status unpacked bash:armhf 4.3-11
2016-03-18 08:05:22 install bsdutils:armhf <none> 1:2.25.2-6
2016-03-18 08:05:22 status half-installed bsdutils:armhf 1:2.25.2-6
2016-03-18 08:05:22 status unpacked bsdutils:armhf 1:2.25.2-6
2016-03-18 08:05:22 status unpacked bsdutils:armhf 1:2.25.2-6
2016-03-18 08:05:22 install coreutils:armhf <none> 8.23-4
2016-03-18 08:05:22 status half-installed coreutils:armhf 8.23-4
2016-03-18 08:05:24 status unpacked coreutils:armhf 8.23-4
2016-03-18 08:05:24 status unpacked coreutils:armhf 8.23-4
2016-03-18 08:05:24 install cpio:armhf <none> 2.11+dfsg-4.1+deb8u1
2016-03-18 08:05:24 status half-installed cpio:armhf 2.11+dfsg-4.1+deb8u1
2016-03-18 08:05:24 status unpacked cpio:armhf 2.11+dfsg-4.1+deb8u1
2016-03-18 08:05:24 status unpacked cpio:armhf 2.11+dfsg-4.1+deb8u1
2016-03-18 08:05:24 install dash:armhf <none> 0.5.7-4
2016-03-18 08:05:24 status half-installed dash:armhf 0.5.7-4
2016-03-18 08:05:25 status unpacked dash:armhf 0.5.7-4
2016-03-18 08:05:25 status unpacked dash:armhf 0.5.7-4
2016-03-18 08:05:25 upgrade debconf:all 1.5.56 1.5.56
2016-03-18 08:05:25 status half-configured debconf:all 1.5.56
2016-03-18 08:05:25 status unpacked debconf:all 1.5.56
2016-03-18 08:05:25 status half-installed debconf:all 1.5.56
2016-03-18 08:05:25 status half-installed debconf:all 1.5.56
2016-03-18 08:05:25 status unpacked debconf:all 1.5.56
2016-03-18 08:05:25 status unpacked debconf:all 1.5.56
2016-03-18 08:05:25 install debconf-i18n:all <none> 1.5.56
2016-03-18 08:05:25 status half-installed debconf-i18n:all 1.5.56
2016-03-18 08:05:26 status unpacked debconf-i18n:all 1.5.56
2016-03-18 08:05:26 status unpacked debconf-i18n:all 1.5.56
2016-03-18 08:05:26 install debianutils:armhf <none> 4.4
2016-03-18 08:05:26 status half-installed debianutils:armhf 4.4
2016-03-18 08:05:26 status unpacked debianutils:armhf 4.4
2016-03-18 08:05:26 status unpacked debianutils:armhf 4.4
2016-03-18 08:05:26 install diffutils:armhf <none> 1:3.3-1
2016-03-18 08:05:26 status half-installed diffutils:armhf 1:3.3-1
2016-03-18 08:05:26 status unpacked diffutils:armhf 1:3.3-1
2016-03-18 08:05:26 status unpacked diffutils:armhf 1:3.3-1
